,Username,Ciudad,Departamento,Pais,Título,Pregunta,Propuesta,Descripción,Votos a favor
697,Diego Niebles Cruz,Bogotá,no hay registro,Colombia,¿Cuál sería la mejor forma de ayudar a los jóvenes a conseguir su primer empleo?,¿Cuál sería la mejor forma de ayudar a los jóvenes a conseguir su primer empleo?,semillero de formación y talento “mi primer empleo”,"consiste en que las empresas desarrollen un semillero, el cual dediqué unos meses establecidos a capacitar a  profesionales que puedan ocupar las vacantes que se vayan presentando dentro de la empresa; esta primera etapa del proceso busca que los profesionales potencialicen sus habilidades en función de los cargos que existen en las empresas siendo fiel a la profesión de cada uno y el campo de acción para el que están preparados, de esta manera las personas activas en los semilleros irían ocupando esas vacantes que vayan surgiendo con el valor agregado de tener los conocimientos para afrontar las responsabilidades del cargo al que apliquen por la interacción durante el tiempo del semillero.",72
845,Fandi,Bogotá,no hay registro,Colombia,¿Qué idea propones para que la educación pública llegue a más colombianos?,¿Qué idea propones para que la educación pública llegue a más colombianos?,construcción de la sede sur universidad del tolima en el municipio de chaparral,"elaboración de los estudios y diseños, al igual que la construcción de la sede sur de la universidad del tolima en el municipio de chaparral donde hoy opera el ceres dario echandía, esta obra será ejecutada por el batallón de ingenieros del ejercito nacional de colombia, buscando aumentar el cobertura en educación superior para la subregión sur, que a hoy apenas llega al 4% de más de 20.000 jóvenes entre 17 a 21 años, e impactando de manera directa en el mejoramiento de la productividad de una zona que corresponde a casi la mitad del área del departamento y donde existen los mejores rendimientos productivos en las líneas productivas que más le aportan el pib departamental como el café.",72
2264,Víctor Jesús Maestre Orozco,Santa Marta,Magdalena,Colombia,¿Cómo disminuirías las emisiones tóxicas generadas por los autos en tu ciudad?,¿Cómo disminuirías las emisiones tóxicas generadas por los autos en tu ciudad?,guáimaro ciudad ciclística de colombia,"iniciar desde una aldea en mi municipio promoviendo la idea y sus beneficios en seguridad, movilidad, salud, espacio público, turismo, empleo, interacción con pequeños vehículos eléctricos-solares autónomos para todo tipo de domicilios con gps , robots, un nuevo estilo o paradigma de vida para confrontar el cambio climático y crisis o fracaso de la ciudad actual según informe conferencia habitat iii de la onu, inicial las ciudades fueron diseñadas para peatones, luego para carruajes tirados por caballos y las actuales para automotores que literal han colapsado, la ciudad ciclística tiene un diseño singular que permitir ubicar en un extremo terminal trasportes....",65
583,Colombia Saludable,Bogotá,Bogota D.C.,Colombia,Plantea una propuesta para mejorar la calidad en el sistema de salud,Plantea una propuesta para mejorar la calidad en el sistema de salud,salud ¡derecho fundamental! ciudadanía y ley estatutaria 1751 de 2015,"los colombianos  exigimos el cumplimiento de la ley estatutaria 1751 de 2015, que consagra la salud como derecho fundamental;  garantizando determinantes sociales, donde 1 de los ejes centrales sea la promoción y prevención, fundamentado en la humanización de la salud.  garantizada con calidad, oportunidad, integralidad, acceso eficaz y sostenibilidad.
propuesta: 1. redefinición del modelo de atención. 2. historias clínicas en línea.  3. acceso a  prestaciones, tecnologías y medicamentos de calidad. 4. capacitación y formación continuada a equipos de  salud y usuarios. 5. participación real y efectiva. 6. cumplimiento fallos judiciales. 7. funciones superintendencias de salud y financiera.",61
806,Esmeldyp,Bogotá,Bogota D.C.,Colombia,¿Qué herramientas te imaginas para que la entrega de las VIS sea transparente?,¿Te has beneficiado del programa de viviendas gratis y/o cualquier otro programa de Gobierno en vivienda?,urbanizaciones vis construidas por el ict sin legalizar ante entes territoriales,"incluir en el plan de desarrollo, esta norma: los desarrollos urbanísticos construidos o ejecutados por el instituto de crédito territorial - ict, en cualquier modalidad, serán objeto de regularización, normalización y/o legalización, en el estado en que se encuentren, por parte del ministerio de vivienda, ciudad y territorio en coordinación con las entidades de planeación y las oficinas de catastro, donde el ict haya ejecutado los desarrollos urbanísticos, mediante la incorporación de los planos definitivos en la respectiva cartografía de cada ente territorial y la actualización de las anotaciones en las oficinas de registro de instrumentos públicos, dentro de los seis (6) meses siguientes",56
271,Alex Rios,Medellín,Antioquia,Colombia,¿Cómo podemos desarrollar el talento a temprana edad?,¿Cómo podemos desarrollar el talento a temprana edad?,aprende a crear con la programación de computadores,"queremos tener grandes empresas de alto valor agregado aportando soluciones para el mundo como google, microsoft o apple..?
crear una generación de talentos en el campo del software usándolo inteligente y creativamente.
todo esto a través de la programación de computadores que ya existe la metodología para enseñarlo desde edad temprana e incursionar a cualquiera edad también.
- crear asignatura de programación desde el primer grado de escuela con una intensidad similar a las matemáticas
- plan para capacitación masivo de maestros con estudiantes/maestros de universidades profesionales o voluntarios.
- crear/comprar/aportar a una plataforma de entrenamiento multiplataforma",53
427,Arquijuan77,Bogotá,Bogota D.C.,Colombia,¿Cómo incentivarías a los ciudadanos a cuidar el medio ambiente?,¿Crees que hay la suficiente conciencia en Colombia para cuidar el medio ambiente?,plan estratégico guarne - peg 2050 ordenamiento territorial + desarrollo social,"ocupación territorial en armonía con desarrollo social. participación comunitaria industrial gremial y ciudadana definen a partir de consensos el futuro del campo y la ciudad. componentes principales: medio ambiente; salud; educación; economía; seguridad; emprendimiento e innovación; infraestructuras y espacios públicos modernos; agroecologia y agroturismo; territorio sostenible, inteligente y tecnológico; políticas públicas; normativas; ods; datos e indicadores; cofinanciación y cooperación internacional; dinámicas territoriales; etc. conciencia política en una misma visión prioridades y continuidad. pdm y pot como herramientas. replicaremos y seremos modelo en los municipios del país",50
1636,Macedonio Gomez G.,Bogotá,Bogota D.C.,Colombia,¿Cuál es la mejor alternativa para que los jóvenes persigan sus sueños?,¿Cuál es la mejor alternativa para que los jóvenes persigan sus sueños?,programa de formación; emprendedor aprendiendo a emprender,"programa de capacitación continuada establecida en todos y cada uno de los municipios, desde pre-escolar, primaria y secundaria. que busca formar a los niños y jóvenes colombianos en lideres, innovadores, emprendedores y empresarios.
con material pedagógico y plataformas interactivas de enseñanza.",50
1194,John Sajje,Medellín,Antioquia,Colombia,¿Cuál es tu propuesta para mejorar la educación en Colombia?,¿Cuál es tu propuesta para mejorar la educación en Colombia?,pta como política pública,"el pta es herramienta para una educación competitiva, que cierra brechas de inequidad. 
1.	convertir el pta en política pública. 2. generar que las figuras del tutor y del formador  hagan parte de las plantas de personal de las secretarías. 3. asumir para dichos cargos, automáticamente, aquellos tutores y formadores capacitados dentro del programa. para evitar la politización futuro asumir las vacantes mediante concurso. 4. permitir, que los tutores no  sean desarraigados de sus lugares de residencia y asuman colegios focalizados en su área de influencia para reducir costos. 5. que tanto tutores, como los formadores hagan parte de las oficinas de calidad de las secretarías de educación",46
1019,Hugo Alberto Oñate Puche,Bogotá,no hay registro,Colombia,¿Cómo garantizar un envejecimiento activo e independiente para el adulto mayor?,¿Cómo garantizar un envejecimiento activo e independiente para el adulto mayor?,asistencia humanitaria periódica,"para el estado es de obligatorio cumplimiento promover, proteger, asegurar el reconocimiento, el pleno goce y ejercicio, en condiciones de igualdad de todos los derechos fundamentales de las personas mayores victimas del conflicto interno, en consecuencia las personas mayores victimas han perdido su capacidad laboral en un 60.8%, por su vulnerabilidad, discapacidad e invalidez para el trabajo, en concurso es de urgencia manifiesta que el estado le brinde la asistencia humanitaria periódica, equivalente a un salario mínimo mensual legal vigente, cancelable por el fondo de solidaridad pensiona.",43
1379,Juda65,Medellín,Antioquia,Colombia,Plantea una forma de que no haya tantos intermediarios en el comercio del campo,¿Crees que la tecnología reducirá a los intermediarios del mercado?,mercados campesinos municipales,"es nuestro deber reemplazar los alimentos artificiales por los que producen nuestros campos, no solo por ser más económicos sino porque impulsan la economía y son beneficiosos para la salud. por ende proponemos el fortalecimiento en capacitación financiera, comercial, mercadeo y de las estructuras físicas comerciales como son las plazas de mercado donde se realizan negocios locales, los cuales son conformados por nuestros campesinos y personas de escasos recursos. pongo como ejemplo la plaza de mercado de mi pueblo riosucio caldas",40
72,,Santiago de Cali,Valle del Cauca,Colombia,¿Cómo podemos desarrollar el talento a temprana edad?,¿Cómo podemos desarrollar el talento a temprana edad?,incluicion prioritaria cultural de maximo impacto,"llegamos con un equipo especializado a barios marginado donde la pobreza se hace mas denotar traemos cultura prioritaria para capacitar a lideres y formar integralmente a niños de 2 a 5 años con mentes artisticas en  danza folclorica colombiana y musica ,ejecucion de instrumentos vallenatos preservando y difundiendo nuestro folklor como patrimonio colombiano vinculando a sus familias en charlas de orientacion por la  salud mental y encuentros fisico-rimicos por la salud  y bienestar de la comunidad en general manejando estrategias relevantes eficases que mejoran la convivencia y el desarrollo social incluyente",39
897,Fundacion Apego,Medellín,Antioquia,Colombia,"¿Cómo protegemos a los niños de violencia, abuso y explotación?","¿Cómo protegemos a los niños de violencia, abuso y explotación?","todos los niños, niñas y adolescentes protegidos y cuidados por una familia sana","colombia ha disminuido la pobreza considerablemente, sin embargo una de las causas principales de la  violencia, los abusos y la institucionalización de los niños(as),  es la falta de recursos económicos, sociales, educativos y solidarios de la familia.  se requiere ofrecer a las familias servicios integrales y efectivos para fortalecer sus competencias y capacidades de inclusión social y  buen ejercicio de su parentalidad.
la propuesta consiste en ofrecer un servicio local a las familias de fácil acceso, personalizado e inmediato, utilizando a las organizaciones de la sociedad civil que operan en la localidad y que han generado confianza y reconocimiento por parte de la comunidad.",39
1043,Israel Pardo A,Bogotá,Bogota D.C.,Colombia,¿Cómo podrían las entidades públicas innovar para mejorar procesos y servicios?,"¿Cómo podrían las entidades públicas innovar para mejorar procesos, servicios y políticas públicas?",modelo para el intercambio de tramites en formato electrónico,"la propuesta consiste en desarrollar un modelo de intercambio de trámites, estándar para la realización de las actividades de recepción, distribución, tramite y organización de archivo, de las comunicaciones recibida y generada en una entidad. el modelo consiste en dos partes una back-end y front-end. la primera se encargaría de recibir y en rutar las comunicaciones de los ciudadanos y organismos a entidades competentes, quedando un registro del mensaje. el segundo es un desarrollo en web, móvil y de escritorio para el registro de la comunicación o solicitud requerida por el ciudadano o entidad. esto permitiría crear observatorios de los servicios ofrecidos por las entidades públicas.",38
1717,Martinagudelo,Bogotá,Bogota D.C.,Colombia,¿Qué idea propones para que la educación pública llegue a más colombianos?,¿Qué idea propones para que la educación pública llegue a más colombianos?,educación en linea para todos!,"estamos en la era del internet, y la educación hace parte de esta revolución, actualmente existen muchas veredas, pueblos, ciudades que gozan de internet gratis en ciertos lugares,  se debe crear entonces, una institución publica online, hacer un estudio de cuantos estudiantes podría enseñar, atender dudas y evaluar  un profesor por este medio, en esa medida se podrán contratar profesores para que hagan parte de este programa, en  todas las asignaturas que sean necesarias para la formación primaria, segundaría e incluso se podría desarrollar un programa de educación superior para el beneficio de los estudiantes inscritos a esta institución publica virtual",37
1750,Mauricio Tascón,Medellín,Antioquia,Colombia,¿Cómo incentivarías a los ciudadanos a cuidar el medio ambiente?,¿Crees que hay la suficiente conciencia en Colombia para cuidar el medio ambiente?,protección de los defensores ambientales,"elevar estándares de los derechos de acceso a la información, participación ciudadana y justicia en asuntos ambientales, cumpliendo las obligaciones legales y adoptando nuevos instrumentos internacionales como el acuerdo de escazú. como ejemplo de propuestas planteamos: 1.bases de información ambiental con indicadores de cumplimiento. 2.conocimiento oportuno y completo de la información sobre proyectos. 3.generar mecanismos de control público sobre licenciamientos y permisos ambientales. 4.garantizar un amplio acceso a la justicia en asuntos ambientales y el cumplimiento efectivo de las sentencias. 6.garantizar a los defensores ambientales la judicialización e investigación efectiva.",37
2286,William Naranjo Quintero,Medellín,Antioquia,Colombia,¿Cómo pueden las instituciones buscar inversión internacional?,¿Cómo pueden las instituciones buscar inversión internacional?,impulsar el desarrollo del puerto de tribugá,"el país requiere incrementar su comercio internacional con la cuenca del pacífico pero sólo tiene una zona  portuaria cuya conectividad está colapsando, por lo cual los conpes de expansión portuaria y el plan de ordenamiento físico portuario del país contemplan la necesidad de desarrollar el puerto de tribugá en nuquí - chocó. pero de manera contradictoria las agencias y ministerios involucrados no tienen la suficiente sincronía con dichas políticas y planes, por lo cual la presidencia de la república debe alinear los esfuerzos alrededor del desarrollo de la ""ciudad puerto"" de nuquí con inversión privada pero con apoyo nacional declarándose como proyecto de interés nacional estratégico.",37
45,,Ibague,Tolima,Colombia,¿Cómo garantizar un envejecimiento activo e independiente para el adulto mayor?,¿Cómo garantizar un envejecimiento activo e independiente para el adulto mayor?,construcción de tejido social a través de la experiencia,"en un país como el nuestro hace falta espacios participativos donde se relacionen la experiencia de los ancianos con la fuerza y el vigor juvenil en diferentes temas que influyan en el proyecto de vida de los jóvenes; también  empresas del sector público y privado que permitan la participación de los ancianos escuchándolos y compartiendo espacios vitales de desarrollo, donde el aporte sea reconocido y valorado por las nueva generación laboral. estos tiene que tener un desarrollo desde la infraestructura adecuada donde los ancianos puedan sentir que son apreciados, valorados y sus propuestas tenidas en cuenta en su entorno.",34
74,,Santiago de Cali,Valle del Cauca,Colombia,Crea una estrategia para invitar a los jóvenes a los centros SACUDETE,Crea una estrategia para invitar a los jóvenes a los centros SACUDETE,´primera infancia 2 a 5 años centros sacudete para ustedes por la igualdad,"soy del meta me gustaria que me permitieran tener la oportunidad de dirigir el mejor centro sacudete de col´ombia en nuestra ciudad, con sede en porfia, para ampliar el programa por la inclucion de primera infancia 2 a 5 años. un lugar donde los pequeñitos se formen integralmente con talleres individualizados e instantaneos, contando con toda la tecnologia que nos ofrece el mintic, ademas pantallas  equipos especializados  para la  equidad, dotado de instrumentos llanero y por la misma preservacion de nuestro patrimonio cultural ´la ´implementacion de la primera escuela de formaci´´on en folclor vallenato, llegando a campos rurales, y reciviendo sus  visitas acompañados del equipo  corprinf.",34
1172,Jhoonnierjoiro,Valledupar,Cesar,Colombia,"¿Cómo acercar a las personas a la literatura, el cine, la música y el arte?","¿Cómo acercar a las personas a la literatura, el cine, la música y el arte?",teatro comunitario como emprendimiento de la economía naranja.,"para ello, se robustecerá las líneas que, pretende atender a las necesidades de las comunidades, quienes finalmente conforman la sociedad colombiana:
línea de formación y educación teatral comunitaria.
      programa de emprendimiento en agrupaciones teatrales.
      programas de profesionalización, técnicos y tecnológicos en teatro
      programa de investigaciones teatrales comunitarias. 
línea de infraestructura y dotación teatral.
      programa nacional de infraestructura teatral. 
      programa de infraestructura y dotación. 
línea de empoderamiento social del teatro.
      proyecto emprendimiento teatro comunitario.  
      proyecto encuentro culturales teatrales.",33
